Oppo_OpportunityId,Oppo_PrimaryCompanyId,Oppo_PrimaryPersonId,Oppo_AssignedUserId,Oppo_ChannelId,Oppo_Description,Oppo_Type,Oppo_Note,Oppo_CustomerRef,Oppo_Status,Oppo_Stage,Oppo_Forecast,Oppo_Certainty
8653,22150,27902,39,NULL,Moorea - Pré-étude,Preetude,"Démarrage en mode T&M sur durée limitéé (4 à 6 w, 1 à 2 personnes)",NULL,Won,Negotiating,41650,100
8654,22171,27933,39,NULL,TEG CAD/Layout,design_Service,Support pour CAD/layout process 2nm nouvelle fab au Jpon,NULL,Abandonne,Identification,160000,2
8655,17557,19945,39,NULL,Chip pour appli TET,Preetude,Solution pour transfert d'énergie transcutané via ondes acoustiques US,NULL,In Progress,Identification,60000,5
8656,20942,25618,39,NULL,Support FuSa,design_Service,Support FuSa pour nouveaux produits,NULL,In Progress,Identification,30000,5
8657,20942,25618,39,NULL,LED Diming,design_Service,Support spec et architecture,NULL,Abandonne,Identification,30000,5
8658,21067,25796,27,NULL,ZAMA-Zupport,design_Service,Support pendant conception ASIC,NULL,In Progress,Identification,0,1
8659,11675,25595,39,NULL,ASIC crypto,FTK,"mini ASIC, RfQ en Aout 2025",NULL,In Progress,Identification,0,2
8660,22175,27939,39,NULL,RfP - Physical IC Design,design_Service,We are seeking qualified subcontractors with proven experience in physical IC design to support a GF 22nm SoC project targeting tape-out in Q1 2026.,NULL,Lost,Identification,0,2
8661,20942,25618,39,NULL,Diomede SoW4 - Debug support AL8892Q,design_Service,contrat de support - open ended - T&M,NULL,Won,Negotiating,120000,100
8662,9103,10859,27,NULL,TTT22C,design_Service,Reprise TESIC,NULL,In Progress,Negotiating,75000,80
8663,22186,27940,27,NULL,Reprise Prod,Production,Reprendre  SCM de 4 Circuits,NULL,In Progress,Qualified,0,10
8664,22174,27937,27,NULL,Processeur,design_Service,Projet europeen EDF pour processeur redondant,NULL,In Progress,Identification,0,1
8665,20942,25618,39,NULL,Diotima - 24ch Linear LED Driver,design_Service,Projet avec equipe Didodes TW + FuSa,NULL,In Progress,Construction offre,1500000,50
8667,6899,8408,27,NULL,TONNARA-WP1,Preetude,Essais synthèses en 22FDS et 12FFC,NULL,In Progress,Negotiating,40000,50
8668,1137,4809,27,NULL,MILOS-WP0,Preetude,Etudes process 55nm,NULL,Abandonne,Negotiating,10000,50
8669,18686,23167,27,NULL,WESAT-ON65-Amdt1,design_Service,Extra works,NULL,Won,Negotiating,15000,100
8670,22161,27919,27,NULL,ASIC Design,design_Service,Besoin support sur design,NULL,NoGo,Identification,0,1
8671,22153,27907,27,NULL,Kontakt,Production,4000 pièces de GAP8,NULL,In Progress,Negotiating,32000,80
8672,17556,19942,27,NULL,MIMOSA2,design_Service,Suite MIMOSA,NULL,In Progress,Identification,500000,40
8673,5745,22036,27,NULL,EDASICH2,FTK,Projet bancaire,NULL,In Progress,Identification,0,20
8674,22188,27946,27,NULL,ASIC ultrason,FTK,Projet pour CMUT,NULL,In Progress,Identification,0,1
8675,22190,27948,27,NULL,Support en DfT,design_Service,Besoin 1 personne,NULL,In Progress,Identification,0,1
8676,3176,25780,31,NULL,Chara - test de 200 circuits,FTK,"Test de 200 circuits (soit test au labo IC 'Alps, soit via la solution de test final en cours de finalisation de mise en place chez Alter)",NULL,Won,Negotiating,25000,100
8677,20946,25625,31,NULL,PMIC,FTK,Afin de réduire la BOM système en compléments des circuits DARIUS et CYRUS Décision attendue pour fin Q1'26 ...,NULL,In Progress,Identification,0,25
8678,22193,27957,31,NULL,VVV2 P&R,design_Service,"PéR sur circuit dont RTL fait par SCD Projet identifié et géré via Adi  Offre budgétaire émise et estimation entre 700 et 750 k€ pour le P&R, puis ensuite industrialisation (1.3M€ avec mask set SLM) ...",NULL,In Progress,Evaluation technique,700000,10
8679,2153,2217,31,NULL,Wezen - suite support Silicon,design_Service,Charge estimée à une dizaine d'homme/semaine Offre en cours d'édition avec le montant demandé par SEALSQ (facturation selon les modalités en place au temps passé),NULL,In Progress,Negotiating,70000,95
8680,20946,25625,31,NULL,DARIUS - industrialisation,FTK,Démarrage de ce WP (initialement WP6.1 mais fortes évolutions) avec - corner lots - mise en place du FT - ESD/LU - lancement SLM et 1 premier lot de pre production,NULL,In Progress,Construction offre,825000,90
8681,2153,NULL,39,NULL,Passport Chip (Polish),design_Service,Opportunité via SEALSQ,NULL,In Progress,Identification,0,5
8682,17431,NULL,39,NULL,Supply Chain partner,Production,GF recherche partenaire design et gestion supply en EU,NULL,In Progress,Identification,0,0
8683,22153,27907,31,NULL,Seed,Production,"400 GAP8 à 16,5$ pièce",NULL,Won,Negotiating,6600,100
8684,11951,27959,39,NULL,ASIC DO254,FTK,premier contact. Pas encore de cahier des charges ,NULL,In Progress,Identification,0,5
8685,22153,27907,31,NULL,91Chip - 10k GAP9,FTK,10k * $4,NULL,Won,Negotiating,40000,100
8686,20946,25625,31,NULL,CYRUS Industrialisation,FTK,"avec ESD/LU, FT, HTOL, qual, EWS ...",NULL,In Progress,Construction offre,868000,90
8687,10456,27960,31,NULL,Supply Chain en GF55,Production,"Consultation pour gestion supply (fonderie + packaging et test) en GF55 avec cible PU < $0,3  Opportunité mise pour 1M de pièces (???)",NULL,In Progress,Evaluation technique,350000,25
