Oppo_OpportunityId,Oppo_PrimaryCompanyId,Oppo_PrimaryPersonId,Oppo_AssignedUserId,Oppo_ChannelId,Oppo_Description,Oppo_Type,Oppo_Product,Oppo_Source,Oppo_Note,Oppo_CustomerRef,Oppo_Opened,Oppo_Closed,Oppo_Status,Oppo_Stage,Oppo_Forecast,Oppo_Certainty,Oppo_Priority,Oppo_TargetClose,Oppo_CreatedBy,Oppo_CreatedDate,Oppo_UpdatedBy,Oppo_UpdatedDate,Oppo_TimeStamp,Oppo_Deleted,Oppo_Total,Oppo_NotifyTime,Oppo_SMSSent,Oppo_WaveItemId,Oppo_SecTerr,Oppo_WorkflowId,Oppo_LeadID,Oppo_Forecast_CID,Oppo_Total_CID,oppo_scenario,oppo_decisiontimeframe,oppo_Currency,oppo_TotalOrders_CID,oppo_TotalOrders,oppo_totalQuotes_CID,oppo_totalQuotes,oppo_NoDiscAmtSum,oppo_NoDiscAmtSum_CID,Oppo_PrimaryAccountId,oppo_SCRMcompetitor,oppo_SCRMwinner,oppo_SCRMreasonforloss,Oppo_SCRMIsCrossSell,Oppo_SCRMOriginalOppoId,oppo_TalendExterKey,oppo_obfuscated,oppo_note_qualif,oppo_Date_Q_Qualif,oppo_cout,oppo_cout_CID
3,3,4,27,NULL,MARSIC,FTK,NULL,Telephone,ASIC acquisition du signal. projet en XFAB0.35,MARSIC,00:00.0,NULL,Abandonne,Identification,292000,10,High,00:00.0,27,12:25.0,27,39:54.0,39:54.0,NULL,292000,NULL,NULL,NULL,-2147483640,3,NULL,2,2,NULL,NULL,NULL,2,0,2,292000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4,1089,1093,27,NULL,ASIC pour application Automobile,Preetude,NULL,Telephone,Projet de développement d'ASIC pour automobile. Besoin éval surface coût et planning,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,32:28.0,27,40:07.0,40:07.0,NULL,0,NULL,NULL,NULL,-2147483640,5,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
5,1156,1245,27,NULL,Projet pompe insuline,Preetude,NULL,Telephone,Projet de miniaturisation pour la V2,NULL,00:00.0,00:00.0,Abandonne,Identification,0,1,NULL,00:00.0,27,54:15.0,27,40:23.0,40:23.0,NULL,0,NULL,NULL,NULL,-2147483640,8,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
1005,2159,2231,27,1,ASIC : TEJAT,NULL,NULL,Telephone,"ASIC pour chaussures connectées

Raison de la perte : 
Sélection d'une offre concurrente (IDMOS) avec NRE moins élevé (de ~500 k€) que notre proposition.

",NULL,00:00.0,00:00.0,Lost,Negotiating,2392000,0,Normal,00:00.0,28,08:46.0,27,32:18.0,32:18.0,NULL,0,32:18.0,NULL,NULL,-2147483640,1006,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
2005,1076,1050,27,NULL,ACAMAR pré-étude,Preetude,NULL,Telephone,"ASIC de contrôle de LED. 3 phases : faisabilité 3 semaines, 8 semaines de design et proto (non testé)

Phase Préétude",NULL,00:00.0,00:00.0,Won,Negotiating,28000,100,NULL,00:00.0,27,56:33.0,27,24:53.0,24:53.0,NULL,28000,NULL,NULL,NULL,-2147483640,2006,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2006,1064,1027,27,NULL,Electra,FTK,NULL,Telephone,Ampli,NULL,00:00.0,NULL,Abandonne,Negotiating,255000,1,NULL,00:00.0,27,01:02.0,27,40:39.0,40:39.0,NULL,255000,NULL,NULL,NULL,-2147483640,2007,NULL,2,2,NULL,NULL,NULL,2,0,2,255000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2008,3179,3284,27,1,Pré-étude : ACQ2G,Preetude,NULL,Telephone,Nouvelle génération de l'ASIC du système d'acquisition pour sonde echographique,NULL,00:00.0,00:00.0,Won,Negotiating,185000,100,High,00:00.0,28,11:22.0,27,25:05.0,25:05.0,NULL,0,33:48.0,NULL,NULL,-2147483640,2009,NULL,2,2,NULL,NULL,NULL,2,0,2,185000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2009,3179,3284,27,1,Pré-étude : xMUT,Preetude,NULL,Telephone,Pré-étude portant sur l'ajout d’intelligence au plus près du capteur.,NULL,00:00.0,00:00.0,Won,Negotiating,65000,100,High,00:00.0,28,15:01.0,27,25:14.0,25:14.0,NULL,0,33:48.0,NULL,NULL,-2147483640,2010,NULL,2,2,NULL,NULL,NULL,2,0,2,65000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2010,3186,3291,27,1,Pré-étude DANA,Preetude,NULL,Telephone,Analyse du système et proposition de mise en ASIC avec production des cout de développement et projection RC.,NULL,00:00.0,00:00.0,Won,Negotiating,30000,100,Normal,00:00.0,28,06:54.0,27,25:21.0,25:21.0,NULL,90000,32:23.0,NULL,NULL,-2147483640,2011,NULL,2,2,NULL,NULL,NULL,2,0,2,30000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2011,1076,1050,27,NULL,ACAMAR Design,FTK,NULL,Telephone,Phase design,NULL,00:00.0,00:00.0,Won,Negotiating,33000,100,NULL,00:00.0,27,15:56.0,27,25:34.0,25:34.0,NULL,145000,NULL,NULL,NULL,-2147483640,2012,NULL,2,2,NULL,NULL,NULL,2,33000,2,145000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2012,1076,1050,27,NULL,ACAMAR Prototypage,FTK,NULL,NULL,Prototypage,NULL,00:00.0,00:00.0,Won,Negotiating,315000,100,NULL,00:00.0,27,30:46.0,27,25:43.0,25:43.0,NULL,270000,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,270000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2013,1076,1050,27,NULL,Etude exploratoire,Preetude,NULL,NULL,Etude faisa,NULL,00:00.0,00:00.0,Won,Negotiating,15000,100,NULL,00:00.0,27,33:49.0,27,25:51.0,25:51.0,NULL,15000,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,15000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2014,4196,4303,27,1,NEKKAR : Pré-étude,Preetude,NULL,NULL,pré-étude en vu du développement d'un ASIC,NULL,00:00.0,00:00.0,Won,Negotiating,36000,100,NULL,00:00.0,28,39:32.0,27,26:15.0,26:15.0,NULL,0,33:53.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
2015,4202,4310,27,1,FIDIS : pré-étude,Preetude,NULL,NULL,Offre de prestation à 1250 € / jour par intervenant,NULL,00:00.0,00:00.0,Abandonne,Negotiating,10000,100,NULL,00:00.0,28,54:15.0,27,41:00.0,41:00.0,NULL,0,32:30.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
3014,1076,1050,27,NULL,Acamar : phase 3 pré-étude,Preetude,NULL,NULL,Suite,NULL,00:00.0,00:00.0,Won,Negotiating,18000,100,NULL,00:00.0,27,38:10.0,27,26:07.0,26:07.0,NULL,18000,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,18000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4014,3179,3284,27,1,MIRA-ACQ: ASIC,FTK,NULL,NULL,développement de l'ASIC ACQ,NULL,00:00.0,00:00.0,Won,Negotiating,1705000,100,NULL,00:00.0,28,01:29.0,27,26:23.0,26:23.0,NULL,0,33:48.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,1145000,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4015,3179,3284,27,1,MIRA-PULSE: ASIC,FTK,NULL,NULL,Développement de l'ASIC PULSE,NULL,00:00.0,00:00.0,Won,Negotiating,903000,100,NULL,00:00.0,28,02:25.0,27,26:36.0,26:36.0,NULL,0,33:48.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4016,1119,1146,27,NULL,VEGA,FTK,NULL,NULL,Sélection des IP,NULL,00:00.0,NULL,Abandonne,Qualified,0,30,NULL,00:00.0,27,40:40.0,27,41:23.0,41:23.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4017,4349,4754,27,NULL,NAOS : Préétude,Preetude,NULL,NULL,Etude intégration,NULL,00:00.0,NULL,Abandonne,Qualified,100000,1,NULL,00:00.0,27,42:12.0,27,41:49.0,41:49.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4018,1132,1175,27,NULL,ISIDA - Préétude,Preetude,NULL,NULL,Développement ASIC,NULL,00:00.0,00:00.0,Won,Negotiating,90000,100,NULL,00:00.0,27,44:04.0,27,01:49.0,01:49.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4020,1150,1222,27,NULL,Projet ASIC,FTK,NULL,NULL,Projet ASIC Spatial...,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,49:59.0,27,42:36.0,42:36.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4021,1128,1166,27,NULL,AFE pour cardio - préétude,FTK,NULL,NULL,Réalisation de l'AFE pour capteurs CSEM,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,04:35.0,27,42:51.0,42:51.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4022,4311,8425,27,NULL,ALFIRK,FTK,NULL,NULL,Migration de 6 FPGA,NULL,00:00.0,NULL,Abandonne,Construction offre,1320000,5,NULL,00:00.0,27,06:10.0,27,42:18.0,42:18.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4023,7987,9603,27,1,TEREBELL : Service Design&Layout,Desogn_Service,NULL,NULL,"CDC reçu
----

Ils ont finalement décidé de monter une équipe ASIC en interne.
Sont incubé dans Silicon Catalyste (incubateur spécialisé dans les startup souhaitant faire des circuits intégrés)",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,37:58.0,27,42:06.0,42:06.0,NULL,0,32:40.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
4024,1081,1070,27,NULL,ASIC conversion CU/FO,FTK,NULL,NULL,A un composant en obsolescence : On ne saura pas faire l'IP,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,27:18.0,27,43:04.0,43:04.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
5024,9046,10749,27,1,ASIC Automotive PMU,FTK,NULL,NULL,"CDC reçu le 17/10/2018

Abandon : 
On ne se positionne pas car les IP orientés automobile (CAN, LIN) ne sont pas disponibles pour nous. Tentative de prise de contact avec créative chips pour voir comment ils auraient pu nous aider => resté sans réponse de leur part. 
Conséquence, nous ne sommes pas en mesure de faire une offre compétitive.",NULL,00:00.0,00:00.0,Abandonne,Identification,0,0,NULL,00:00.0,28,44:08.0,27,43:16.0,43:16.0,NULL,0,32:44.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,",NonKnown,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
5025,9061,13814,27,1,CASTOR : Migration HALO - CT450,Desogn_Service,NULL,NULL,"Redéfinition du projet pour limiter le budget à < 200 k€
---
Abandonné par le client.
D'autres projets en priorité",NULL,00:00.0,NULL,Abandonne,Evaluation technique,200000,1,NULL,00:00.0,28,11:49.0,27,43:31.0,43:31.0,NULL,0,32:45.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
5026,9020,10690,27,NULL,ASIC implant,FTK,NULL,NULL,ASIC pour implant avec monitoring tension et com et recharge RF,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,09:05.0,27,43:50.0,43:50.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6028,1074,1046,27,NULL,TYL,Desogn_Service,NULL,NULL,Développement logique,NULL,00:00.0,NULL,Abandonne,Construction offre,57500,1,NULL,00:00.0,27,05:24.0,27,44:01.0,44:01.0,NULL,57500,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6029,4287,4556,27,1,Backend gros circuit 28FDSOI,Desogn_Service,NULL,NULL,"pour projet SPA, il cherche des partenaires :
•         Capables de gérer des gros circuits (il parle de circuit de 150 à 200 mm2 en 28FDSOI) , pouvant faire tout le Bacakend
=> Il faudra rentrer chez ST sur techno FDSOI28 avant d'être consulté pour la partie Space en complément de EASII",NULL,00:00.0,00:00.0,Abandonne,Identification,0,1,NULL,00:00.0,28,51:13.0,27,44:14.0,44:14.0,NULL,0,36:06.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6030,2160,7098,27,1,ASIC pour DAC X-IFU,Desogn_Service,NULL,NULL,"Réalisation ASIC analog
--
Abandonné (réponse Aurélien) : 
Bonjour Rémy,
Oui, j’ai enfin une position ferme sur le DAC.

Le DAC à développer était pour la solution FDM qui était la Baseline. 
La solution FDM qui était plus élégante mais a rencontré plusieurs problèmes rendant le risque inacceptable. 

Le projet a donc pris la décision de passer en TDM juste avant le confinement rendant le besoin de développer un DAC nul.",NULL,00:00.0,NULL,Abandonne,Identification,0,0,NULL,00:00.0,28,54:23.0,27,44:46.0,44:46.0,NULL,0,32:19.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6031,3176,3277,27,1,Développement ASIC ULP (CHARA),FTK,NULL,NULL,"ASIC pour la fonction Pacing avec multiples blocs de monitoring et controle du Dispositif Medical.

Projet ISO13485",NULL,00:00.0,00:00.0,Won,Negotiating,1430000,100,NULL,00:00.0,28,56:18.0,27,07:31.0,07:31.0,NULL,0,34:28.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6032,3187,3294,27,1,pré-étude ASIC - part1,Preetude,NULL,NULL,"Sur base du circuit TUDeltf
design review, manufacturablilité, plan pour en faire un produit, potentiel d’optimisation, IP, industrialisation…",NULL,00:00.0,NULL,Abandonne,Identification,30000,80,NULL,00:00.0,28,57:38.0,27,44:25.0,44:25.0,NULL,0,32:24.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6033,3187,3294,27,1,pré-étude ASIC - part 2,Preetude,NULL,NULL,Base LIU,NULL,00:00.0,NULL,Abandonne,Identification,60000,1,NULL,00:00.0,28,53:38.0,27,44:33.0,44:33.0,NULL,0,32:24.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6034,1076,1050,27,NULL,ACAMAR Seconde archi,Preetude,NULL,NULL,Ajout d'une seconde architecture dans le testchip,NULL,00:00.0,00:00.0,Won,Negotiating,20000,100,NULL,00:00.0,27,57:34.0,27,01:21.0,01:21.0,NULL,20000,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,20000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6035,1154,1231,27,1,Industrialisation ASIC,FTK,NULL,NULL,"Outre le GDS , de quelles informations auriez-vous besoin pour nous faire un chiffrage de la phase d’industrialisation comprenant la réalisation de 25 wafers chez Tower , et , la sous-traitance de la partie bumping sciage , amincissement et test électrique ?
Une telle offre est-elle envisageable vis-à-vis de Tower ?",NULL,00:00.0,NULL,Abandonne,Construction offre,495000,5,NULL,00:00.0,28,26:13.0,27,45:04.0,45:04.0,NULL,0,36:06.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6036,11747,14218,27,1,SIRRAH : ASIC VGA,NULL,NULL,NULL,"Spec to GDSII.
--------
Selection d'un autre partenaire (prix ?)",NULL,00:00.0,00:00.0,Lost,Construction offre,595000,0,NULL,00:00.0,28,38:34.0,27,32:51.0,32:51.0,NULL,0,32:51.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6037,10541,12792,27,NULL,ASIC pour micropompe,FTK,NULL,NULL,A un projet d'ASIC (sera lancé d'ici 18 mois) pour intégrer plus leur électronique. Il y a une partie HV (200V) dans le design et souhaiterait ajouter des interfaces capteurs et un micro. Envoi info puis organiser un WebEx,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,30:20.0,27,45:16.0,45:16.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6038,10525,12764,27,NULL,SADOR,Desogn_Service,NULL,NULL,Etude performance ASIC processeur neuronal,NULL,00:00.0,00:00.0,Won,Negotiating,25000,100,NULL,00:00.0,27,29:11.0,27,01:31.0,01:31.0,NULL,24990,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,25000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6039,4201,4308,27,1,pré-étude ASIC,Preetude,NULL,NULL,"Sont en COTS pour leur système EEG.

""Nous avons reporté le développement d’un ASIC propriétaire afin d’assurer la collecte de datas préliminaires suffisantes pour permettre de resserrer les spécifications techniques de notre électronique pour l’application clinique, ce qui devrait permettre de renforcer la faisabilité du design et de l’intégration finale.
Nous reviendrons vers vous pour consultation dès que nous aurons obtenu suffisamment de données précliniques afin de rediscuter de ces points autour d’objectifs technologiques mieux définis au vue de l’application, probablement pas avant la fin 2021.""

ASIC pas avant fin 2021",NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,28,24:38.0,27,45:34.0,45:34.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6040,3179,3284,27,1,MIRA-PULSE: pièce méca,FTK,NULL,NULL,relatif à l'offre de pièce mecanique et daisy chain,NULL,00:00.0,00:00.0,Won,Negotiating,8000,100,NULL,00:00.0,28,47:53.0,27,01:57.0,01:57.0,NULL,0,33:48.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6041,9065,14489,27,1,Pré-étude ASIC,Preetude,NULL,NULL,Pour dispositif Haptique,NULL,00:00.0,00:00.0,Won,Negotiating,38000,100,NULL,00:00.0,28,14:04.0,27,01:46.0,01:46.0,NULL,0,32:46.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6043,11748,14219,34,NULL,Migration,FTK,NULL,NULL,Migration circuit GF130 obsolète en autre process,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,11:02.0,27,12:20.0,12:20.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6044,1119,1146,27,NULL,VEGA -Design,NULL,NULL,NULL,Développement circuit logique,NULL,00:00.0,NULL,Lost,Negotiating,3200000,1,NULL,00:00.0,27,15:32.0,27,45:51.0,45:51.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
6045,11929,14684,27,NULL,ELNATH,FTK,NULL,NULL,Testchip pour eFPGA,NULL,00:00.0,00:00.0,Won,Negotiating,107000,100,NULL,00:00.0,27,26:18.0,27,01:39.0,01:39.0,NULL,107000,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,107000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6046,4331,4722,27,NULL,MOPx,Preetude,NULL,NULL,Client potentiel,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,12:08.0,27,46:29.0,46:29.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6047,5779,14726,27,NULL,MOPx,Preetude,NULL,NULL,Intérêt dans MOPIC,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,17:17.0,27,24:04.0,24:04.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6048,4230,14925,27,NULL,Mopx,Preetude,NULL,NULL,Partenaire dans dépot FTI,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,55:13.0,27,24:16.0,24:16.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6049,1146,14735,27,NULL,MOPx,Preetude,NULL,NULL,Intérêt MOPx,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,57:01.0,27,24:25.0,24:25.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6050,2147,2205,27,NULL,UW9,FTK,NULL,NULL,Migration ASIC,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,03:03.0,27,46:40.0,46:40.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6051,7965,9544,27,NULL,Migration FPGA,Desogn_Service,NULL,NULL,FPGA + analog,NULL,00:00.0,NULL,Abandonne,Identification,0,1,NULL,00:00.0,27,15:56.0,27,47:00.0,47:00.0,NULL,0,NULL,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
6053,9061,13814,27,1,projet SATURN,Desogn_Service,NULL,NULL,développement interfaces digital (SPI/ABZ/HSM/memory Array/Angle engine extraction),NULL,00:00.0,00:00.0,Won,Negotiating,85000,100,NULL,00:00.0,28,32:02.0,27,00:44.0,00:44.0,NULL,0,32:45.0,NULL,NULL,-2147483640,NULL,NULL,2,2,NULL,NULL,NULL,2,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2
