Comp_PhoneFullNumber,Comp_EmailAddress,Comp_PhoneCountryCode,Comp_PhoneAreaCode,Comp_PhoneNumber,Comp_FaxCountryCode,Comp_FaxAreaCode,Comp_FaxNumber,Comp_CompanyId,Comp_PrimaryPersonId,Comp_PrimaryAddressId,Comp_PrimaryUserId,Comp_Name,Comp_Type,Comp_Status,Comp_Source,Comp_Territory,Comp_Revenue,Comp_Employees,Comp_Sector,Comp_IndCode,Comp_WebSite,Comp_MailRestriction,Comp_CreatedBy,Comp_CreatedDate,Comp_UpdatedBy,Comp_UpdatedDate,Comp_TimeStamp,Comp_Deleted,Comp_LibraryDir,Comp_ChannelID,Comp_SecTerr,comp_DefaultIntId,comp_gdalangue
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22171,27933,29662,39,RAPIDUS,Prospect,NULL,Prospection,NULL,NULL,Upto20,Semiconducteur,NULL,https://www.rapidus.inc/en/,NULL,39,54:40.0,27,09:19.0,09:19.0,NULL,R\RAPIDUS,NULL,-2147483640,1,1
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22173,27934,29665,27,Ability Neurotech,Prospect,Active,Prospection,NULL,NULL,Upto20,Medical,NULL,https://abilityneuro.com/,NULL,27,23:26.0,27,23:26.0,23:26.0,NULL,A\Ability Neurotech,NULL,-2147483640,1,0
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22173,27934,29665,27,Ability Neurotech,Prospect,Active,Prospection,NULL,NULL,Upto20,Medical,NULL,https://abilityneuro.com/,NULL,27,23:26.0,27,23:26.0,23:26.0,NULL,A\Ability Neurotech,NULL,-2147483640,1,0
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22173,27934,29665,27,Ability Neurotech,Prospect,Active,Prospection,NULL,NULL,Upto20,Medical,NULL,https://abilityneuro.com/,NULL,27,23:26.0,27,23:26.0,23:26.0,NULL,A\Ability Neurotech,NULL,-2147483640,1,0
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22174,27937,29668,27,IES,Prospect,Active,Prospection,NULL,NULL,Upto20,Spacial,NULL,http://iessrl.it,NULL,27,32:34.0,27,32:34.0,32:34.0,NULL,I\IES,NULL,-2147483640,1,1
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22174,27937,29668,27,IES,Prospect,Active,Prospection,NULL,NULL,Upto20,Spacial,NULL,http://iessrl.it,NULL,27,32:34.0,27,32:34.0,32:34.0,NULL,I\IES,NULL,-2147483640,1,1
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22175,27939,29670,39,ELECTRA IC,Prospect,Active,Prospection,NULL,NULL,501+,Semiconducteur,NULL,https://www.electraic.com/,NULL,39,19:17.0,39,20:11.0,20:11.0,NULL,E\ELECTRA IC,NULL,-2147483640,1,0
  +49 74 24 99-0,NULL,NULL,NULL,+49 74 24 99-0,NULL,NULL,NULL,22186,27940,29683,27,Marquardt,Prospect,Active,Web,NULL,NULL,501+,Transportation,NULL,https://www.marquardt.com/,NULL,27,53:30.0,27,53:30.0,53:30.0,NULL,M\Marquardt,NULL,-2147483640,1,1
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22188,27946,29690,27,Ultra-Bionics,Prospect,Active,Prospection,NULL,NULL,Upto20,Medical,NULL,https://ultra-bionics.com/,NULL,27,27:31.0,27,27:31.0,27:31.0,NULL,U\Ultra-Bionics,NULL,-2147483640,1,1
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22190,27948,29693,27,VERTICAL Compute,Prospect,Active,Prospection,NULL,NULL,Upto20,Semiconducteur,NULL,https://verticalcompute.com/,NULL,27,24:25.0,27,44:48.0,44:48.0,NULL,V\VERTIVAL Compute,NULL,-2147483640,1,0
  ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22192,27950,29696,27,FortifyIQ,Prospect,Active,Prospection,NULL,NULL,Upto20,Semiconducteur,NULL,https://fortifyiq.com/company/,NULL,27,25:34.0,27,25:34.0,25:34.0,NULL,F\FortifyIQ,NULL,-2147483640,1,1
  +972 4 990 2500,NULL,NULL,NULL,+972 4 990 2500,NULL,NULL,NULL,22193,27957,29703,31,SCD Israel,Prospect,NULL,Prospection,NULL,NULL,501+,Semiconducteur,NULL,https://www.scd-infrared.com/,NULL,31,54:21.0,31,54:21.0,54:21.0,NULL,S\SCD Israel,NULL,-2147483640,1,0
  +972 4 990 2500,NULL,NULL,NULL,+972 4 990 2500,NULL,NULL,NULL,22193,27957,29703,31,SCD Israel,Prospect,NULL,Prospection,NULL,NULL,501+,Semiconducteur,NULL,https://www.scd-infrared.com/,NULL,31,54:21.0,31,54:21.0,54:21.0,NULL,S\SCD Israel,NULL,-2147483640,1,0
