company_record_id,company_name,company_owner,create_date,phone_number,last_activity_date,city,country_region,industry,legacy_contact_id,hubspot_contact_id,company_record_id_legacy,primary_contact_email,company_association_status
,Cea Grenoble,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,2,TBD,PENDING
,Malvern Panalytical,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3,TBD,PENDING
,Insightness,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1057,TBD,PENDING
,Elichens,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1064,TBD,PENDING
,Sercel,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1071,TBD,PENDING
,Baumer Electric Ag,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1072,TBD,PENDING
,Thales Alenia Space Toulouse,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1074,TBD,PENDING
,Redtree Solutions,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1075,TBD,PENDING
,Aledia,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1076,TBD,PENDING
,Framatome,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1081,TBD,PENDING
,Sp3H,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1089,TBD,PENDING
,Cissoid  S.A.,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1095,TBD,PENDING
,Carmat,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1100,TBD,PENDING
,Isorg,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1115,TBD,PENDING
,Vitec Video Innovation,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1119,TBD,PENDING
,@-Health,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1128,TBD,PENDING
,Intopix S.A.,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1132,TBD,PENDING
,Vsora,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1139,TBD,PENDING
,Adept Neuro Sa,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1146,TBD,PENDING
,Safran Sensing Norway,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1148,TBD,PENDING
,3D-Plus,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1150,TBD,PENDING
,Nipson Technology,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1154,TBD,PENDING
,Debiotech,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1156,TBD,PENDING
,Slb,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,1157,TBD,PENDING
,Scubapro Uwatec,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,2147,TBD,PENDING
,Seal Sq France,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,2153,TBD,PENDING
,Zhortech,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,2159,TBD,PENDING
,Cnes,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,2160,TBD,PENDING
,Schneider Electric Eybens,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,2191,TBD,PENDING
,Anotherbrain,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3175,TBD,PENDING
,Cairdac,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3176,TBD,PENDING
,Moduleus,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3179,TBD,PENDING
,Nanoxplore,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3180,TBD,PENDING
,Sentinhealth,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3186,TBD,PENDING
,Vermon,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,3187,TBD,PENDING
,Neurallys,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4196,TBD,PENDING
,Panaxium,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4201,TBD,PENDING
,Fine Heart,NA,09/18/2025 11:13,NA,NA,NA,NA,Semiconductors,NA,TBD,4202,TBD,PENDING
