record_id,deal_name,pipeline,deal_stage,deal_status,deal_amount,deal_forecast,deal_certainty,deal_type,deal_source,deal_brand,deal_notes,deal_category,deal_created_date,deal_close_date,deal_company_id,deal_contact_id,deal_owner,original_stage,original_status,processing_date,transformation_notes
3,MARSIC,Sales Pipeline,Closed Dead,Lost,292000,292000,10,FTK,Telephone,ICALPS,ASIC acquisition du signal. projet en XFAB0.35,Opportunity,43279.46696,44377,3,4,27,Identified,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
4,ASIC pour application Automobile,Studies Pipeline,Closed Dead,Lost,0,0,1,Preetude,Telephone,ICALPS,Projet de developpement d'ASIC pour automobile. Besoin eval surface co��t et planning,Study,43286.48088,45008,1089,1093,27,Identification,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
5,Projet pompe insuline,Studies Pipeline,Closed Dead,Lost,0,0,1,Preetude,Telephone,ICALPS,Projet de miniaturisation pour la V2,Study,43290.70434,43465,1156,1245,27,Identification,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
2005,ACAMAR pre-etude,Studies Pipeline,Closed Won,Won,28000,28000,100,Preetude,Telephone,ICALPS,"ASIC de contr̫le de LED. 3 phases : faisabilite 3 semaines, 8 semaines de design et proto (non teste)

Phase Preetude",Study,43293.4976,43308,1076,1050,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2006,Electra,Sales Pipeline,Closed Dead,Lost,255000,255000,1,FTK,Telephone,ICALPS,Ampli,Opportunity,43293.50072,43738,1064,1027,27,Identified,Abandonnee,14/07/2025,Moved to Closed Dead (abandoned + low certainty)
2008,Pre-etude : ACQ2G,Studies Pipeline,Closed Won,Won,0,185000,100,Preetude,Telephone,ICALPS,Nouvelle generation de l'ASIC du syst̬me d'acquisition pour sonde echographique,Study,43305.46623,43307,3179,3284,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2009,Pre-etude : xMUT,Studies Pipeline,Closed Won,Won,0,65000,100,Preetude,Telephone,ICALPS,Pre-etude portant sur l'ajout d�۪intelligence au plus pr̬s du capteur.,Study,43305.46876,43307,3179,3284,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2010,Pre-etude DANA,Studies Pipeline,Closed Won,Won,90000,30000,100,Preetude,Telephone,ICALPS,Analyse du syst̬me et proposition de mise en ASIC avec production des cout de developpement et projection RC.,Study,43308.50479,43385,3186,3291,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2011,ACAMAR Design,Sales Pipeline,Closed Won,Won,145000,33000,100,FTK,Telephone,ICALPS,Phase design,Opportunity,43318.51106,43385,1076,1050,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2012,ACAMAR Prototypage,Sales Pipeline,Closed Won,Won,270000,315000,100,FTK,Unknown,ICALPS,Prototypage,Opportunity,43334.77137,43537,1076,1050,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2013,Etude exploratoire,Studies Pipeline,Closed Won,Won,15000,15000,100,Preetude,Unknown,ICALPS,Etude faisa,Study,43336.69015,43336,1076,1050,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2014,NEKKAR : Pre-etude,Studies Pipeline,Closed Won,Won,0,36000,100,Preetude,Unknown,ICALPS,pre-etude en vu du developpement d'un ASIC,Study,43350.61079,43623,4196,4303,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
2015,FIDIS : pre-etude,Studies Pipeline,On-Hold,On-Hold,0,10000,100,Preetude,Unknown,ICALPS,Offre de prestation �� 1250 ��� / jour par intervenant,Study,43350.62101,43453,4202,4310,27,Identification,Abandonnee,14/07/2025,Moved to Closed Won (100% certainty)
3014,Acamar : phase 3 pre-etude,Studies Pipeline,Closed Won,Won,18000,18000,100,Preetude,Unknown,ICALPS,Suite,Study,43353.5265,43357,1076,1050,27,Identification,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
4014,MIRA-ACQ: ASIC,Sales Pipeline,Closed Won,Won,0,1705000,100,FTK,Unknown,ICALPS,developpement de l'ASIC ACQ,Opportunity,43362.4177,43378,3179,3284,27,Identified,Gagnee,14/07/2025,Moved to Closed Won (100% certainty)
