record_id,deal_name,pipeline,deal_stage,deal_status,transformation_notes,deal_amount,deal_forecast,deal_certainty,deal_type,deal_source,deal_brand,deal_notes,deal_category,deal_created_date,deal_close_date,deal_company_id,deal_contact_id,deal_owner,original_stage,original_status,processing_date
3,MARSIC,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),292000.0,292000.0,10,FTK,Telephone,ICALPS,ASIC acquisition du signal. projet en XFAB0.35,Opportunity,2025-09-18 12:25:00,2025-09-18,3,4.0,27,Identification,Abandonne,18/09/2025
4,ASIC pour application Automobile,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,Telephone,ICALPS,Projet de développement d'ASIC pour automobile. Besoin éval surface coût et planning,Study,,2025-09-18,1089,1093.0,27,Identification,Abandonne,18/09/2025
5,Projet pompe insuline,Studies Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),0.0,0.0,1,Preetude,Telephone,ICALPS,Projet de miniaturisation pour la V2,Study,,2025-09-18,1156,1245.0,27,Identification,Abandonne,18/09/2025
1005,ASIC : TEJAT,Sales Pipeline,Closed Lost,Lost,Deal closed as lost,2392000.0,2392000.0,0,,Telephone,ICALPS,"ASIC pour chaussures connectées

Raison de la perte : 
Sélection d'une offre concurrente (IDMOS) avec NRE moins élevé (de ~500 k€) que notre proposition.

",Opportunity,2025-09-18 08:46:00,2025-09-18,2159,2231.0,27,Negotiating,Lost,18/09/2025
2005,ACAMAR pré-étude,Studies Pipeline,Closed Won,Won,Deal successfully closed,28000.0,28000.0,100,Preetude,Telephone,ICALPS,"ASIC de contrôle de LED. 3 phases : faisabilité 3 semaines, 8 semaines de design et proto (non testé)

Phase Préétude",Study,,2025-09-18,1076,1050.0,27,Negotiating,Won,18/09/2025
2006,Electra,Sales Pipeline,Closed Dead,Lost,Moved to Closed Dead (abandoned + low certainty),255000.0,255000.0,1,FTK,Telephone,ICALPS,Ampli,Opportunity,2025-09-18 01:02:00,2025-09-18,1064,1027.0,27,Negotiating,Abandonne,18/09/2025
2008,Pré-étude : ACQ2G,Studies Pipeline,Closed Won,Won,Deal successfully closed,185000.0,185000.0,100,Preetude,Telephone,ICALPS,Nouvelle génération de l'ASIC du système d'acquisition pour sonde echographique,Study,2025-09-18 11:22:00,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
2009,Pré-étude : xMUT,Studies Pipeline,Closed Won,Won,Deal successfully closed,65000.0,65000.0,100,Preetude,Telephone,ICALPS,Pré-étude portant sur l'ajout d’intelligence au plus près du capteur.,Study,2025-09-18 15:01:00,2025-09-18,3179,3284.0,27,Negotiating,Won,18/09/2025
2010,Pré-étude DANA,Studies Pipeline,Closed Won,Won,Deal successfully closed,30000.0,30000.0,100,Preetude,Telephone,ICALPS,Analyse du système et proposition de mise en ASIC avec production des cout de développement et projection RC.,Study,2025-09-18 06:54:00,2025-09-18,3186,3291.0,27,Negotiating,Won,18/09/2025
2011,ACAMAR Design,Sales Pipeline,Closed Won,Won,Deal successfully closed,33000.0,33000.0,100,FTK,Telephone,ICALPS,Phase design,Opportunity,2025-09-18 15:56:00,2025-09-18,1076,1050.0,27,Negotiating,Won,18/09/2025
