icalps_deal_id,dealname,icalps_dealforecast,icalps_dealcertainty,icalps_dealtype,icalps_dealsource,icalps_dealnotes,icalps_dealcategory,icalps_deal_created_date,closedate,hubspot_owner_id,icalps_originalstage,icalps_original_status,icalps_transformation_notes,pipeline,dealstage,amount,weighted_amount,company_association_id,contact_association_id,hubspot_company_id,hubspot_contact_id,import_batch,import_status,validation_status
3,MARSIC,292000.0,10,FTK,Telephone,ASIC acquisition du signal. projet en XFAB0.35,Opportunity,2025-09-18 12:25:00,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,292000.0,29200.0,3,4.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
4,ASIC pour application Automobile,0.0,1,Preetude,Telephone,Projet de développement d'ASIC pour automobile. Besoin éval surface coût et planning,Study,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,1089,1093.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
5,Projet pompe insuline,0.0,1,Preetude,Telephone,Projet de miniaturisation pour la V2,Study,,2025-09-18,27,Identification,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_service,1116269223,0.0,0.0,1156,1245.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
1005,ASIC : TEJAT,2392000.0,0,,Telephone,"ASIC pour chaussures connectées

Raison de la perte : 
Sélection d'une offre concurrente (IDMOS) avec NRE moins élevé (de ~500 k€) que notre proposition.

",Opportunity,2025-09-18 08:46:00,2025-09-18,27,Negotiating,Lost,Deal closed as lost,Icalps_hardware,12096415,2392000.0,0.0,2159,2231.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2005,ACAMAR pré-étude,28000.0,100,Preetude,Telephone,"ASIC de contrôle de LED. 3 phases : faisabilité 3 semaines, 8 semaines de design et proto (non testé)

Phase Préétude",Study,,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,28000.0,28000.0,1076,1050.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2006,Electra,255000.0,1,FTK,Telephone,Ampli,Opportunity,2025-09-18 01:02:00,2025-09-18,27,Negotiating,Abandonne,Moved to Closed Dead (abandoned + low certainty),Icalps_hardware,1116419650,255000.0,2550.0,1064,1027.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2008,Pré-étude : ACQ2G,185000.0,100,Preetude,Telephone,Nouvelle génération de l'ASIC du système d'acquisition pour sonde echographique,Study,2025-09-18 11:22:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,185000.0,185000.0,3179,3284.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2009,Pré-étude : xMUT,65000.0,100,Preetude,Telephone,Pré-étude portant sur l'ajout d’intelligence au plus près du capteur.,Study,2025-09-18 15:01:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,65000.0,65000.0,3179,3284.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2010,Pré-étude DANA,30000.0,100,Preetude,Telephone,Analyse du système et proposition de mise en ASIC avec production des cout de développement et projection RC.,Study,2025-09-18 06:54:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_service,1116704052,30000.0,30000.0,3186,3291.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
2011,ACAMAR Design,33000.0,100,FTK,Telephone,Phase design,Opportunity,2025-09-18 15:56:00,2025-09-18,27,Negotiating,Won,Deal successfully closed,Icalps_hardware,1116419649,33000.0,33000.0,1076,1050.0,TBD,TBD,icalps_migration_20250918_1203,READY,HUBSPOT_VALIDATED
